"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"8082-10","U__","8082-10-0","Metrô Butantã","0","82954"
"8082-10","U__","8082-10-1","Cid. Universitária","1","82953"
"8083-10","U__","8083-10-0","Metrô Butantã","0","82964"
"8083-10","U__","8083-10-1","Cid. Universitária","1","82841"
"8084-10","U__","8084-10-0","Cid. Universitária","0","82955"
"8085-10","U__","8085-10-0","Circular Usp","0","82844"
"8012-10","USD","8012-10-0","Cid. Universitária","0","78452"
"8012-10","USD","8012-10-1","Metrô Butantã","1","78319"
"8022-10","USD","8022-10-0","Cid. Universitária","0","80204"
"8022-10","USD","8022-10-1","Metrô Butantã","1","80205"
