"trip_id","arrival_time","departure_time","stop_id","stop_sequence"
"8082-10-0","08:00:00","08:00:00","1211412","1"
"8082-10-0","08:01:57","08:01:57","120010342","2"
"8082-10-0","08:03:54","08:03:54","1207042","3"
"8082-10-0","08:05:51","08:05:51","1211268","4"
"8082-10-0","08:07:48","08:07:48","120010350","5"
"8082-10-0","08:09:45","08:09:45","120010348","6"
"8082-10-0","08:11:42","08:11:42","120010361","7"
"8082-10-0","08:13:39","08:13:39","1211424","8"
"8082-10-0","08:15:36","08:15:36","120010368","9"
"8082-10-0","08:17:33","08:17:33","120010372","10"
"8082-10-0","08:19:30","08:19:30","120010373","11"
"8082-10-0","08:21:27","08:21:27","120010374","12"
"8082-10-0","08:23:24","08:23:24","120010375","13"
"8082-10-0","08:25:21","08:25:21","120010369","14"
"8082-10-0","08:27:18","08:27:18","1211398","15"
"8082-10-0","08:29:15","08:29:15","1211396","16"
"8082-10-0","08:31:12","08:31:12","1211395","17"
"8082-10-0","08:33:09","08:33:09","120010331","18"
"8082-10-0","08:35:06","08:35:06","1211386","19"
"8082-10-0","08:37:03","08:37:03","1211364","20"
"8082-10-0","08:41:00","08:41:00","1211359","21"
"8082-10-1","18:00:00","18:00:00","1211359","1"
"8082-10-1","18:01:50","18:01:50","1211419","2"
"8082-10-1","18:03:40","18:03:40","1211421","3"
"8082-10-1","18:05:30","18:05:30","120015861","4"
"8082-10-1","18:07:20","18:07:20","120015862","5"
"8082-10-1","18:09:10","18:09:10","120010378","6"
"8082-10-1","18:11:00","18:11:00","1211397","7"
"8082-10-1","18:12:50","18:12:50","1211399","8"
"8082-10-1","18:14:40","18:14:40","120010370","9"
"8082-10-1","18:16:30","18:16:30","120010371","10"
"8082-10-1","18:18:20","18:18:20","1211423","11"
"8082-10-1","18:20:10","18:20:10","120010360","12"
"8082-10-1","18:22:00","18:22:00","120010359","13"
"8082-10-1","18:23:50","18:23:50","120010349","14"
"8082-10-1","18:25:40","18:25:40","1211269","15"
"8082-10-1","18:27:30","18:27:30","1207041","16"
"8082-10-1","18:29:20","18:29:20","120010336","17"
"8082-10-1","18:33:00","18:33:00","1211412","18"
"8083-10-0","08:00:00","08:00:00","6811370","1"
"8083-10-0","08:02:11","08:02:11","120010337","2"
"8083-10-0","08:04:22","08:04:22","120010338","3"
"8083-10-0","08:06:33","08:06:33","120010339","4"
"8083-10-0","08:08:44","08:08:44","120010340","5"
"8083-10-0","08:10:55","08:10:55","120010341","6"
"8083-10-0","08:13:06","08:13:06","120010342","7"
"8083-10-0","08:15:17","08:15:17","120010343","8"
"8083-10-0","08:17:28","08:17:28","1211425","9"
"8083-10-0","08:19:39","08:19:39","120010344","10"
"8083-10-0","08:21:50","08:21:50","1207032","11"
"8083-10-0","08:24:01","08:24:01","120010330","12"
"8083-10-0","08:26:12","08:26:12","120010331","13"
"8083-10-0","08:28:23","08:28:23","1211386","14"
"8083-10-0","08:30:34","08:30:34","1211364","15"
"8083-10-0","08:35:00","08:35:00","1211373","16"
"8083-10-1","13:00:00","13:00:00","1211373","1"
"8083-10-1","13:01:45","13:01:45","1211419","2"
"8083-10-1","13:03:30","13:03:30","1211421","3"
"8083-10-1","13:05:15","13:05:15","120015861","4"
"8083-10-1","13:07:00","13:07:00","120015862","5"
"8083-10-1","13:08:45","13:08:45","120010328","6"
"8083-10-1","13:10:30","13:10:30","120010329","7"
"8083-10-1","13:12:15","13:12:15","120010332","8"
"8083-10-1","13:14:00","13:14:00","120010333","9"
"8083-10-1","13:15:45","13:15:45","120010334","10"
"8083-10-1","13:17:30","13:17:30","120010335","11"
"8083-10-1","13:19:15","13:19:15","120010336","12"
"8083-10-1","13:21:00","13:21:00","120010337","13"
"8083-10-1","13:22:45","13:22:45","120010338","14"
"8083-10-1","13:24:30","13:24:30","120010346","15"
"8083-10-1","13:26:15","13:26:15","120010347","16"
"8083-10-1","13:28:00","13:28:00","120010345","17"
"8083-10-1","13:29:45","13:29:45","120010339","18"
"8083-10-1","13:31:30","13:31:30","120010340","19"
"8083-10-1","13:33:15","13:33:15","120010341","20"
"8083-10-1","13:37:00","13:37:00","6811370","21"
"8084-10-0","08:00:00","08:00:00","1211391","1"
"8084-10-0","08:01:54","08:01:54","1211419","2"
"8084-10-0","08:03:48","08:03:48","1211421","3"
"8084-10-0","08:05:42","08:05:42","120015861","4"
"8084-10-0","08:07:36","08:07:36","120015862","5"
"8084-10-0","08:09:30","08:09:30","120010328","6"
"8084-10-0","08:11:24","08:11:24","120010354","7"
"8084-10-0","08:13:18","08:13:18","120010355","8"
"8084-10-0","08:15:12","08:15:12","120010356","9"
"8084-10-0","08:17:06","08:17:06","120010357","10"
"8084-10-0","08:19:00","08:19:00","120010358","11"
"8084-10-0","08:20:54","08:20:54","120010351","12"
"8084-10-0","08:22:48","08:22:48","120010352","13"
"8084-10-0","08:24:42","08:24:42","120010353","14"
"8084-10-0","08:26:36","08:26:36","1207032","15"
"8084-10-0","08:28:30","08:28:30","120010330","16"
"8084-10-0","08:30:24","08:30:24","120010331","17"
"8084-10-0","08:32:18","08:32:18","1211386","18"
"8084-10-0","08:34:12","08:34:12","1211364","19"
"8084-10-0","08:38:00","08:38:00","1211391","20"
"8085-10-0","11:00:00","11:00:00","1211412","1"
"8085-10-0","11:01:43","11:01:43","120010342","2"
"8085-10-0","11:03:26","11:03:26","120010336","3"
"8085-10-0","11:05:09","11:05:09","120010337","4"
"8085-10-0","11:06:52","11:06:52","120010338","5"
"8085-10-0","11:08:35","11:08:35","120010346","6"
"8085-10-0","11:10:18","11:10:18","120010347","7"
"8085-10-0","11:12:01","11:12:01","120010358","8"
"8085-10-0","11:13:44","11:13:44","120010351","9"
"8085-10-0","11:15:27","11:15:27","120010352","10"
"8085-10-0","11:17:10","11:17:10","120010353","11"
"8085-10-0","11:18:53","11:18:53","120010354","12"
"8085-10-0","11:20:36","11:20:36","1211398","13"
"8085-10-0","11:22:19","11:22:19","1211397","14"
"8085-10-0","11:24:02","11:24:02","1211399","15"
"8085-10-0","11:25:45","11:25:45","1211422","16"
"8085-10-0","11:27:28","11:27:28","120010355","17"
"8085-10-0","11:29:11","11:29:11","120010356","18"
"8085-10-0","11:30:54","11:30:54","120010357","19"
"8085-10-0","11:32:37","11:32:37","120010359","20"
"8085-10-0","11:34:20","11:34:20","120010345","21"
"8085-10-0","11:36:03","11:36:03","120010339","22"
"8085-10-0","11:37:46","11:37:46","120010340","23"
"8085-10-0","11:39:29","11:39:29","120010341","24"
"8085-10-0","11:43:00","11:43:00","1211412","25"
"8012-10-0","01:19:00","01:19:00","1211391","1"
"8012-10-0","01:20:18","01:20:18","1211419","2"
"8012-10-0","01:21:36","01:21:36","1211421","3"
"8012-10-0","01:22:54","01:22:54","120015861","4"
"8012-10-0","01:24:12","01:24:12","120015862","5"
"8012-10-0","01:25:30","01:25:30","120010328","6"
"8012-10-0","01:26:48","01:26:48","120010329","7"
"8012-10-0","01:28:06","01:28:06","120010354","8"
"8012-10-0","01:29:24","01:29:24","120010355","9"
"8012-10-0","01:30:42","01:30:42","120010356","10"
"8012-10-0","01:32:00","01:32:00","120010357","11"
"8012-10-0","01:33:18","01:33:18","120010359","12"
"8012-10-0","01:34:36","01:34:36","120010345","13"
"8012-10-0","01:35:54","01:35:54","120010339","14"
"8012-10-0","01:37:12","01:37:12","120010340","15"
"8012-10-0","01:38:30","01:38:30","120010341","16"
"8012-10-0","01:39:48","01:39:48","120010342","17"
"8012-10-0","01:41:06","01:41:06","120010336","18"
"8012-10-0","01:44:00","01:44:00","1211412","19"
"8012-10-1","01:47:00","01:47:00","1211412","1"
"8012-10-1","01:48:17","01:48:17","120010342","2"
"8012-10-1","01:49:34","01:49:34","1207042","3"
"8012-10-1","01:50:51","01:50:51","1211268","4"
"8012-10-1","01:52:08","01:52:08","120010350","5"
"8012-10-1","01:53:25","01:53:25","120010348","6"
"8012-10-1","01:54:42","01:54:42","120010361","7"
"8012-10-1","01:55:59","01:55:59","1211424","8"
"8012-10-1","01:57:16","01:57:16","120010368","9"
"8012-10-1","01:58:33","01:58:33","120010372","10"
"8012-10-1","01:59:50","01:59:50","120010373","11"
"8012-10-1","02:01:07","02:01:07","120010374","12"
"8012-10-1","02:02:24","02:02:24","120010375","13"
"8012-10-1","02:03:41","02:03:41","120010369","14"
"8012-10-1","02:04:58","02:04:58","1211398","15"
"8012-10-1","02:06:15","02:06:15","1211396","16"
"8012-10-1","02:07:32","02:07:32","1211395","17"
"8012-10-1","02:08:49","02:08:49","120010331","18"
"8012-10-1","02:10:06","02:10:06","1211386","19"
"8012-10-1","02:11:23","02:11:23","1211364","20"
"8012-10-1","02:14:00","02:14:00","1211391","21"
"8022-10-0","03:15:00","03:15:00","1211359","1"
"8022-10-0","03:16:00","03:16:00","1211419","2"
"8022-10-0","03:17:00","03:17:00","1211421","3"
"8022-10-0","03:18:00","03:18:00","120015861","4"
"8022-10-0","03:19:00","03:19:00","120015862","5"
"8022-10-0","03:20:00","03:20:00","120010378","6"
"8022-10-0","03:21:00","03:21:00","1211397","7"
"8022-10-0","03:22:00","03:22:00","1211399","8"
"8022-10-0","03:23:00","03:23:00","120010370","9"
"8022-10-0","03:24:00","03:24:00","120010371","10"
"8022-10-0","03:25:00","03:25:00","1211423","11"
"8022-10-0","03:26:00","03:26:00","120010360","12"
"8022-10-0","03:27:00","03:27:00","120010358","13"
"8022-10-0","03:28:00","03:28:00","120010351","14"
"8022-10-0","03:29:00","03:29:00","120010352","15"
"8022-10-0","03:30:00","03:30:00","120010353","16"
"8022-10-0","03:31:00","03:31:00","120010332","17"
"8022-10-0","03:32:00","03:32:00","120010333","18"
"8022-10-0","03:33:00","03:33:00","120010334","19"
"8022-10-0","03:34:00","03:34:00","120010335","20"
"8022-10-0","03:35:00","03:35:00","120010336","21"
"8022-10-0","03:36:00","03:36:00","120010337","22"
"8022-10-0","03:37:00","03:37:00","120010338","23"
"8022-10-0","03:38:00","03:38:00","120010339","24"
"8022-10-0","03:39:00","03:39:00","120010340","25"
"8022-10-0","03:40:00","03:40:00","120010341","26"
"8022-10-0","03:42:00","03:42:00","6811370","27"
"8022-10-1","01:38:00","01:38:00","6811370","1"
"8022-10-1","01:39:18","01:39:18","120010342","2"
"8022-10-1","01:40:36","01:40:36","120010336","3"
"8022-10-1","01:41:54","01:41:54","120010337","4"
"8022-10-1","01:43:12","01:43:12","120010338","5"
"8022-10-1","01:44:30","01:44:30","120010346","6"
"8022-10-1","01:45:48","01:45:48","120010347","7"
"8022-10-1","01:47:06","01:47:06","120010349","8"
"8022-10-1","01:48:24","01:48:24","1211269","9"
"8022-10-1","01:49:42","01:49:42","1207041","10"
"8022-10-1","01:51:00","01:51:00","120010343","11"
"8022-10-1","01:52:18","01:52:18","1211425","12"
"8022-10-1","01:53:36","01:53:36","120010344","13"
"8022-10-1","01:54:54","01:54:54","1207032","14"
"8022-10-1","01:56:12","01:56:12","120010330","15"
"8022-10-1","01:57:30","01:57:30","120010331","16"
"8022-10-1","01:58:48","01:58:48","1211386","17"
"8022-10-1","02:00:06","02:00:06","1211364","18"
"8022-10-1","02:03:00","02:03:00","1211359","19"
